total_summer,no_games,no_hosted,team
2399,26,4,United States
1413,17,1,Russia
1304,27,3,Great Britain
780,27,2,France
671,15,2,Germany
549,26,1,Italy
483,26,1,Sweden
476,25,0,Hungary
473,9,1,China
468,25,2,Australia
398,21,1,Japan
302,24,1,Finland
301,20,0,Romania
279,25,1,Canada
271,20,0,Poland
266,25,1,Netherlands
243,16,1,South Korea
214,19,0,Bulgaria
209,19,0,Cuba
185,27,0,Switzerland
179,26,0,Denmark
148,24,0,Norway
143,16,0,Czechoslovakia
142,25,1,Belgium
131,22,1,Spain
115,5,0,Ukraine
111,27,3,Greece
108,21,0,Brazil
99,22,0,New Zealand
86,26,0,Austria
86,13,0,Kenya
86,21,0,Turkey
83,16,0,Yugoslavia
76,18,0,South Africa
75,5,0,Belarus
70,23,0,Argentina
67,16,0,Jamaica
62,22,0,Mexico
60,15,0,Iran
52,5,0,Kazakhstan
47,9,0,North Korea
45,12,0,Ethiopia
44,5,0,Czech Republic
33,11,0,Estonia
29,20,0,Ireland
27,14,0,Indonesia
26,5,0,Azerbaijan
26,21,0,Egypt
26,23,0,India
25,5,0,Georgia
24,12,0,Mongolia
24,5,0,Slovakia
24,15,0,Thailand
23,6,0,Croatia
23,15,0,Nigeria
23,23,0,Portugal
22,13,0,Morocco
21,8,0,Lithuania
20,5,0,Uzbekistan
19,18,0,Colombia
19,10,0,Latvia
19,6,0,Slovenia
19,13,0,Chinese Taipei
18,16,0,Trinidad and Tobago
15,12,0,Algeria
13,22,0,Chile
12,5,0,Armenia
12,2,0,Australasia
12,15,0,Bahamas
12,17,0,Venezuela
10,16,0,Pakistan
10,13,0,Tunisia
10,20,0,Uruguay
9,20,0,Philippines
9,3,0,Serbia and Montenegro
8,17,0,Puerto Rico
8,12,0,Zimbabwe
7,15,0,Israel
7,5,0,Moldova
7,3,0,Serbia
7,14,0,Uganda
6,13,0,Dominican Republic
6,12,0,Malaysia
5,13,0,Cameroon
4,3,0,Bohemia
4,14,0,Costa Rica
4,13,0,Ghana
4,19,0,Iceland
4,16,0,Lebanon
4,6,0,Namibia
4,17,0,Peru
4,8,0,Qatar
4,15,0,Singapore
3,15,0,Hong Kong
3,5,0,Kyrgyzstan
3,16,0,Panama
3,10,0,Saudi Arabia
3,12,0,Syria
3,5,0,Tajikistan
2,13,0,Afghanistan
2,1,0,British West Indies
2,13,0,Ecuador
2,14,0,Haiti
2,12,0,Kuwait
2,22,0,Luxembourg
2,9,0,Mozambique
2,16,0,Sri Lanka
2,11,0,Suriname
2,12,0,Tanzania
2,14,0,Vietnam
2,12,0,Zambia
1,8,0,Bahrain
1,11,0,Barbados
1,17,0,Bermuda
1,9,0,Botswana
1,5,0,Burundi
1,12,0,Ivory Coast
1,9,0,Cyprus
1,7,0,Djibouti
1,4,0,Eritrea
1,9,0,Gabon
1,8,0,Grenada
1,13,0,Guatemala
1,16,0,Guyana
1,13,0,Iraq
1,5,0,Macedonia
1,8,0,Mauritius
1,2,0,Montenegro
1,13,0,Netherlands Antilles
1,11,0,Niger
1,11,0,Paraguay
1,13,0,Senegal
1,11,0,Sudan
1,9,0,Togo
1,8,0,Tonga
1,8,0,United Arab Emirates
1,11,0,Virgin Islands
0,16,0,Liechtenstein